bce_loss: tf.Tensor(0.7652156, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.010987818, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376269, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.013387218, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762685, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.013563067, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445238, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.009424193, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74452364, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0064625866, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652147, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0074279555, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376264, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0072101466, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74452335, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007218069, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73072916, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007616494, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307291, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.009990051, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.76521397, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0086018685, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376258, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.01088376, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376257, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.010473808, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445226, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008737184, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74452245, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0063118846, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652132, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0063485717, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762524, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008166747, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74452204, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.00712585, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73072815, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0078271795, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73072803, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008494044, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652124, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008678332, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762476, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.009698179, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762465, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008983429, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74452144, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007467822, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74452126, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006236759, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.76521176, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007803747, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762417, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008209003, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74452084, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008996837, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73072714, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008409472, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307271, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008125354, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.76521105, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0074447794, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762363, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.00894007, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376236, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007868303, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445203, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0074915974, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74452007, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006523414, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652104, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007144774, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376231, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.009338813, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445197, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008331868, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73072624, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008051924, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307261, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007686845, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652096, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0062754303, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376226, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007909894, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762244, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007392872, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445191, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007968559, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.744519, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006322918, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652089, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0073755286, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376221, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008731641, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451864, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008032983, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73072517, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.00671947, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307251, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0072285966, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652082, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007345897, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376215, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008367758, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376214, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007406327, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451786, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0066261166, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445179, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006037935, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.76520747, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007860868, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.737621, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008148734, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451756, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008814154, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307242, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008148795, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73072416, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006632842, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652069, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006813834, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762053, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.009607494, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376205, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0075322436, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451673, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0070174723, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445167, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0058808983, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652061, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0076249964, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376199, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008076671, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451625, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007898973, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307231, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0074735633, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307231, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0075431564, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652053, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006431783, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73761934, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008150321, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376193, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007441123, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451554, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007677975, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451554, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006098933, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652045, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006651667, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376188, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008005565, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451506, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0067951903, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73072225, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006475569, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73072207, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0069741397, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652037, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007246894, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73761827, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0081857545, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73761815, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0077587916, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445142, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0065453597, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451417, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.005209713, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.765203, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0053215926, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376177, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007270743, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451387, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006978751, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307211, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0067741335, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307211, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0065186694, shape=(), dtype=float32) 
